evidence_id,app_id,platform,source_type,source_title,source_url,publication_or_update_date,date_checked,version_observed,release_or_update_date_observed,finding_domain,finding_status,finding_detail,claim_text_or_summary,evidence_strength,notes
EV011,APP004,Not applicable,Peer-reviewed article,Efficacy and Conflicts of Interest in Randomized Controlled Trials Evaluating Headspace and Calm Apps: Systematic Review,https://mental.jmir.org/2022/9/e40924,2022-09-20,2026-09-08,Not applicable,Not applicable,Clinical evidence,Evidence identified and relevant,"Peer-reviewed systematic review identified 14 RCTs of Headspace; found depression improved in 75% of studies measuring it, mixed/partial findings for anxiety, stress, and wellbeing, most studies underpowered, and 50% of RCTs disclosed a conflict of interest involving Headspace (e.g., free premium access, in 2 cases employee involvement in study design)","Systematic review reports Headspace improved depression outcomes in a majority of RCTs examined, with mixed results for other outcomes and notable conflict-of-interest patterns",Direct peer-reviewed evidence,"This is a review of RCTs, not a single trial; conflict-of-interest and underpowering issues identified by the review authors should be preserved alongside any effectiveness claim"
EV012,APP004,Not applicable,Peer-reviewed article,New Headspace CBT for Anxiety & Depression program RCT (as reported in company/business-wire announcement citing JMIR publication),https://www.businesswire.com/news/home/20251201621867/en/,2025-12-01,2026-09-08,,,Clinical evidence,Claim identified but supporting evidence not identified,"A December 2025 company press release describes a new peer-reviewed RCT published in JMIR evaluating Headspace's 21-day CBT program for anxiety and depression; the primary JMIR article itself was not independently retrieved and reviewed in this pass, so the claim is recorded as company-reported pending direct verification",Company press release states a JMIR-published RCT found significant reductions in anxiety and depression symptoms after Headspace's 21-day CBT program,Insufficient to assess,Recorded as a lead from a company announcement; the primary peer-reviewed article should be retrieved directly from JMIR before treating the efficacy claim as independently verified
EV013,APP005,Cross-platform,Privacy policy,Calm Privacy Policy,https://www.calm.com/privacy-policy,,2026-09-08,Not applicable,Not applicable,Privacy policy,Identified,"A publicly accessible privacy policy was located describing data collection and use practices; a third-party privacy evaluator (Common Sense Privacy) separately rates Calm's disclosed practices as including sale/sharing of personal information for advertising, which is a third-party interpretation, not this dataset's own audit","Calm Privacy Policy describes collection of identifiers, geolocation, and other categories of personal information and permits certain third-party data sharing",Direct primary source,Distinguish the developer's own policy text (primary source) from third-party ratings/scores of that policy (secondary interpretation); both are noted here for traceability
EV014,APP005,Not applicable,Peer-reviewed article,Efficacy and Conflicts of Interest in Randomized Controlled Trials Evaluating Headspace and Calm Apps: Systematic Review,https://mental.jmir.org/2022/9/e40924,2022-09-20,2026-09-08,Not applicable,Not applicable,Clinical evidence,Evidence identified but insufficient for specified claim,"The same systematic review identified only 1 RCT of Calm as of its May 2021 search, which was not preregistered; a single RCT provides limited generalizable evidence for broad efficacy claims about the commercial app","Systematic review identified only one qualifying RCT of Calm, limiting the evidence base relative to Headspace",Direct peer-reviewed evidence,Evidence base for Calm specifically (as opposed to meditation apps generally) is comparatively sparse per this review; do not generalize broader meditation research to the Calm product without a direct evaluation
EV015,APP005,Cross-platform,Other authoritative source,Mozilla Foundation *Privacy Not Included - Calm review,https://www.mozillafoundation.org/en/privacynotincluded/calm/,2023-04-25,2026-09-08,Not applicable,Not applicable,Privacy policy,Identified,"Independent privacy research organization's review of Calm's privacy policy; this is a secondary evaluative source, not the primary policy itself, and is included as supporting context rather than a factual claim about current policy terms","Mozilla Foundation reports Calm updated its privacy policy after being contacted, to clarify data access/deletion rights for all users regardless of location",Indirect/supporting evidence,Secondary/advocacy-organization source; primary Calm privacy policy (EV013) should be treated as the authoritative current text
EV016,APP006,Cross-platform,Official website,Sanvello.com product website,https://www.sanvello.com,,2026-09-08,,,App/store metadata,Identified,"Official Sanvello website was located and accessible via the URL cited in App Store metadata; separately, a 2026 third-party review site states Sanvello has been acquired by AbleTo and rebranded as 'AbleTo SelfCare+', restricted to AbleTo members - this status could not be fully reconciled with continued public store listings in this pass",Sanvello official website URL is published in App Store metadata as sanvello.com,Direct primary source,App status recorded as Unclear in apps.csv because of an unresolved conflict between the app's continued presence in app store metadata and a third-party report of acquisition/rebranding; manual verification recommended
EV017,APP006,Not applicable,Peer-reviewed article,Multi-Media Field Test: Cognitive-Behavioral Therapy at Our Fingertips: Sanvello Provides On-Demand Support for Mental Health,https://www.sciencedirect.com/science/article/pii/S107772292400004X,2024-01-18,2026-09-08,,,Clinical evidence,Evidence identified but not directly applicable,Source is a published field-test/commentary describing Sanvello's privacy and design characteristics rather than a controlled efficacy trial; it does not itself establish clinical effectiveness,Field-test article describes Sanvello's privacy policy and data-handling design as meeting reviewed standards,Indirect/supporting evidence,"This source addresses design/privacy characteristics, not a controlled clinical-outcomes evaluation; do not treat as efficacy evidence"
EV018,APP006,iOS,Terms of service,Sanvello Terms of Service (linked from App Store version history),https://sanvello.com/tos/,,2026-09-08,8.64.0,2023-12-12,Terms of service,Identified,"A publicly accessible terms-of-service URL was located via App Store metadata; the associated app version (8.64.0) was last updated per the App Store change log entry examined, dated December 2023, which is older than the date this record was checked",Terms of Service URL published in App Store listing metadata,Direct primary source,"Version/update date reflects the most recent entry visible in the aggregator-mirrored App Store change log examined, not necessarily the current live version"
EV019,APP007,Android,Other authoritative source,Third-party app-tracking record indicating MoodKit removal from Google Play,https://www.appbrain.com/appstore/moodkit/ios-427064987,,2026-09-08,3.3,2020-02-26,App/store metadata,Unclear,"A third-party app-analytics aggregator (not an authoritative primary source) states MoodKit was removed from Google Play on 2023-11-14; this could not be independently confirmed via a first-party Google Play listing in this pass, so app_status is recorded as Unclear rather than Unavailable",Third-party aggregator states MoodKit was removed from Google Play in November 2023 and is no longer downloadable there,Insufficient to assess,This is a secondary/aggregator source rather than an authoritative primary source per the project's source hierarchy; direct confirmation via Google Play or Apple App Store is recommended
EV020,APP007,Not applicable,Other authoritative source,Behavior Change Institute product page citing 'A Randomized Controlled Trial of Three Smartphone Apps for Enhancing Public Mental Health',https://besci.org/products/moodkit,,2026-09-08,,,Clinical evidence,Claim identified but supporting evidence not identified,"A third-party behavior-science resource page references an RCT of three smartphone apps for public mental health in connection with MoodKit, but the underlying peer-reviewed article itself was not independently retrieved and reviewed in this data-collection pass","Third-party source references an RCT evaluating three smartphone mental-wellbeing apps, one of which is stated to be MoodKit",Insufficient to assess,"The primary RCT article should be retrieved and reviewed directly (e.g., via PubMed or the publishing journal) before treating this as confirmed direct evidence for MoodKit specifically"
EV021,APP008,iOS,Apple App Store,PTSD Coach - App Store listing,https://apps.apple.com/us/app/ptsd-coach/id430646302,,2026-09-08,4,,App/store metadata,Identified,Store listing confirms developer identity (US Department of Veterans Affairs) and describes app version 4 feature set; specific release date for version 4 was not stated in the excerpt examined,App Store listing describes 'PTSD Coach 4' feature updates including personalized home screen and new tracking options,Direct primary source,Exact release date of version 4 was not present in the excerpt examined; do not substitute date_checked for a missing release date
EV022,APP008,Cross-platform,Official website,VA National Center for PTSD - Mobile Apps page,https://www.ptsd.va.gov/appvid/mobile/,,2026-09-08,Not applicable,Not applicable,Privacy policy,Identified,"Official VA page states that no personally identifying data entered into the app is sent to VA or third parties, and that only anonymous usage analytics are collected for research/improvement purposes","VA states: ""no data that could be used to identify you is sent to VA or third parties"" for VA mobile apps including PTSD Coach",Direct primary source,This is the developer's own description of its data practices; independent technical verification was not performed in this pass
EV023,APP008,Not applicable,Other authoritative source,ASPR TRACIE technical resource listing for PTSD Coach,https://asprtracie.hhs.gov/technical-resources/resource/6932/mobile-app-ptsd-post-traumatic-stress-disorder-coach,2018-01-01,2026-09-08,Not applicable,Not applicable,App/store metadata,Identified,"A federal technical-resource clearinghouse (ASPR TRACIE, part of HHS) lists PTSD Coach with a 2018 citation; this corroborates the app's existence and VA/DoD origin from a second authoritative government source",HHS ASPR TRACIE resource describes PTSD Coach's core features consistent with VA's own description,Direct primary source,Included as a secondary confirming government source rather than the sole basis for developer attribution
EV024,APP009,Cross-platform,Official website,Talkspace - AI at Talkspace page,https://www.talkspace.com/ai-at-talkspace,,2026-09-08,,,AI disclosure,Identified,"Developer's dedicated page explicitly discusses use of AI tools within the therapy platform and states an ethical framework for AI use; this is the developer's own characterization, not an independent audit of how AI is actually used in practice","Developer states: ""we have developed a clear framework for ensuring that AI tools are ethical by design"" and discusses AI-supported therapy generally",Direct primary source,Page discusses AI use in general/aspirational terms; specific technical implementation details were not comprehensively examined in this pass
EV025,APP009,Cross-platform,Other authoritative source,Talkspace press release: Talkspace Launches AI-Powered Insights,https://investors.talkspace.com/news-releases/news-release-details/talkspace-launches-ai-powered-insights-advance-provider,2025-01-15,2026-09-08,,,AI disclosure,Identified,"Investor-relations press release describes a specific AI feature ('Insights') launched for providers to help prepare for and guide sessions; this is a clinician-facing tool per the release, not a claim that AI directly delivers therapy to clients","Press release describes 'Insights,' an AI-powered feature that helps Talkspace providers prepare for sessions and guide client care between sessions",Direct primary source,This record is specifically about a provider-facing tool; do not conflate with a claim that Talkspace itself delivers AI-automated therapy to clients
EV026,APP009,Cross-platform,Privacy policy,Talkspace Privacy Policy,https://www.talkspace.com/public/privacy-policy,2025-07-17,2026-09-08,Not applicable,Not applicable,Privacy policy,Identified,A publicly accessible and dated privacy policy was located; policy text states client information is not sold to third parties and describes use of a proprietary matching algorithm and machine-learning tools for engagement insights,"Talkspace Privacy Policy states: ""Talkspace does not sell client information to third parties"" and describes machine-learning-based engagement tools",Direct primary source,"Policy identified does not constitute independent verification of actual data-handling practices; historical third-party reporting (e.g., 2020 press coverage) raised separate questions about de-identified data use for product development, which is a distinct issue from selling data"
EV027,APP010,iOS,Apple App Store,Rootd - Panic Attack Relief - App Store listing,https://apps.apple.com/us/app/rootd-panic-attacks-anxiety/id1289018369,,2026-09-08,,,App/store metadata,Identified,"Store listing confirms developer identity (Simply Rooted Media Inc.) and describes core feature set (panic-attack tool based on CBT techniques, lessons, breathing exercises)",App Store listing describes Rootd's panic-attack tool as 'based on the latest techniques in Cognitive Behavioural Therapy (CBT)',Direct primary source,"CBT-technique claim is a developer marketing description, not a citation to a specific clinical study"
EV028,APP010,Android,Google Play,Rootd - Anxiety & Panic Relief - Google Play listing,https://play.google.com/store/apps/details?id=com.rootd&hl=en_US,,2026-09-08,,,Health/wellbeing claims,Claim identified but supporting evidence not identified,Google Play listing describes Rootd as 'the scientifically validated female led app for anxiety & panic attacks' without citing a specific study or evidence source in the listing text examined,Google Play description states Rootd is 'scientifically validated' without an accompanying citation in the text examined,Insufficient to assess,"The term 'scientifically validated' is a developer marketing claim in this listing; no specific supporting study was identified or cited by the developer in the sources examined, and a validation claim was not independently confirmed"
EV029,APP011,Android,Google Play,Happier Meditation - Google Play listing,https://play.google.com/store/apps/details?id=com.changecollective.tenpercenthappier,,2026-09-08,,,App/store metadata,Identified,"Current Google Play listing itself states the app was 'Formerly Ten Percent Happier', confirming a rebrand; developer entity listed as Happier Meditation, Inc.","Google Play listing states: ""Formerly Ten Percent Happier — Personalized monthly meditation plan to find calm""",Direct primary source,Rebrand is documented directly in current store metadata rather than inferred from a secondary source
EV030,APP011,Cross-platform,Privacy policy,Happier Meditation (meditatehappier.com) privacy policy link (referenced in App Store metadata),https://www.meditatehappier.com/privacy-policy,,2026-09-08,Not applicable,Not applicable,Privacy policy,Identified,A privacy-policy URL for the app was located via App Store metadata linking to the developer's website; full policy text was not comprehensively reviewed in this pass,"Privacy policy link published in App Store metadata under developer Happier Meditation, Inc.",Direct primary source,Only the existence/location of the privacy policy was confirmed; a full content review was not performed in this pass
EV031,APP012,Android,Google Play,Daylio Journal - Mood Tracker - Google Play listing,https://play.google.com/store/apps/details?id=net.daylio&hl=en_GB,,2026-09-08,,,Privacy policy,Identified,"Google Play listing states data is stored locally on-device, is not sent to Daylio's servers by default, and that backups (optional) are encrypted via the user's own Google Drive/iCloud account","Google Play listing states: ""No data is sent to our servers"" and describes the app as ""a 100% private journal app""",Direct primary source,This is the developer's own marketing/privacy description; independent technical verification of the local-storage claim was not performed in this pass
EV032,APP012,iOS,Apple App Store,Daylio Journal - Mood Tracker - App Store listing (developer listed as Relaxio),https://apps.apple.com/us/app/daylio-journal-daily-diary/id1194023242,,2026-09-08,,,App/store metadata,Identified,"iOS App Store listing associates the app with developer name 'Relaxio', while the Android Google Play listing associates it with 'Habitics s.r.o.'; both names are recorded in apps.csv rather than resolving to a single developer without further verification",App Store (iOS) listing credits the publisher differently than the Google Play (Android) listing per third-party corroboration (Wikipedia),Direct primary source,Cross-platform developer-name discrepancy is preserved rather than resolved by assumption; may reflect a holding company/subsidiary structure not detailed in sources examined
EV033,APP013,iOS,Apple App Store,MindShift CBT - Anxiety Relief - App Store listing,https://apps.apple.com/ca/app/mindshift-cbt-anxiety-relief/id634684825,,2026-09-08,,,App/store metadata,Identified,"Current Apple App Store listing credits developer as '247 Labs Inc', while multiple official/institutional sources (Anxiety Canada website, health-system resource pages) describe Anxiety Canada, a not-for-profit organization, as the app's creator/owner; both are recorded to preserve traceability",App Store developer field lists '247 Labs Inc'; Anxiety Canada's own materials describe MindShift CBT as its app,Direct primary source,Discrepancy between store-listed technical developer/publisher and the credited content-owning organization (Anxiety Canada) is preserved rather than collapsed into a single value
EV034,APP013,Cross-platform,Official website,Anxiety Canada - MindShift CBT resource page,https://www.anxietycanada.com/resources/mindshift-cbt/,,2026-09-08,Not applicable,Not applicable,Health/wellbeing claims,Identified,"Anxiety Canada's own site describes MindShift CBT as using scientifically proven CBT-based strategies; this is the organization's own claim about its app, not an independent efficacy study",Anxiety Canada states MindShift CBT 'uses scientifically proven strategies based on Cognitive Behavioural Therapy (CBT)',Direct primary source,"Claim that strategies are 'scientifically proven' refers to the general CBT approach's evidence base, not necessarily a study of this specific app; see distinction rules for technique-level vs. app-level evidence"
EV035,APP014,Cross-platform,Terms of service,BetterHelp Client Terms & Conditions,https://www.betterhelp.com/terms/,,2026-09-08,Not applicable,Not applicable,Terms of service,Identified,A publicly accessible terms-of-service document was located; it explicitly states the platform is not intended for clinical diagnosis requiring in-person evaluation and links to the separate privacy policy,BetterHelp Terms state the platform is not intended for clinical diagnosis requiring in-person evaluation,Direct primary source,Terms identified establishes existence/content of the document; does not itself assess quality or enforceability of terms
EV036,APP014,Not applicable,Other authoritative source,Federal Trade Commission 2023 enforcement action against BetterHelp (as summarized in a peer-reviewed law/policy article),https://pmc.ncbi.nlm.nih.gov/articles/PMC10937180/,2023-03-01,2026-09-08,Not applicable,Not applicable,Privacy policy,Identified,"A peer-reviewed article summarizes a March 2023 FTC complaint and subsequent order finding BetterHelp shared consumers' health information with third-party advertisers (e.g., Facebook, Snapchat) despite privacy representations, and required a monetary settlement; this is a regulatory/legal finding regarding historical practices, not a real-time audit of current practices","Peer-reviewed source summarizes an FTC finding that BetterHelp disclosed consumer health information to advertisers and made deceptive privacy representations, resulting in a fine and behavioral restrictions",Direct primary source,"This concerns a specific 2023 regulatory finding about historical data-sharing practices; it does not by itself describe BetterHelp's current privacy practices, which may have changed under the resulting FTC order"
